Name RollNumber Hostel Room Mess MessPref
Dodi 102122001 GarnetA 0 1 - 
Elbertine 102122002 GarnetA 0 3 - 
Trish 102122003 GarnetA 1 3 - 
Trenna 102122004 GarnetA 1 1 - 
Thomasina 106122004 GarnetB 1 3 - 
Catlee 106122005 GarnetB 2 3 - 
Dynah 106122006 GarnetB 2 3 - 
Inga 106122007 GarnetB 3 1 - 
Selena 106122008 GarnetB 3 2 - 
Gwenneth 108122006 GarnetB 2 3 - 
Natividad 108122007 Opal 3 2 - 
Kalila 108122008 Opal 3 2 - 
Emyle 108122009 Opal 4 2 - 
Jodi 111122006 Opal 2 1 - 
Christa 111122007 Opal 3 2 - 
Odetta 111122008 Opal 3 1 - 
Kathryne 111122009 Opal 4 1 - 
Maribelle 111122010 Agate 4 2 - 
Dottie 112122001 Agate 0 2 - 
Berry 112122002 Agate 0 2 - 
Austin 112122003 Agate 1 3 - 
Constantine 112122004 Agate 1 3 -
